GalaxyName,S_tau_class,S_tau_proxy,LabelConfidence,LabelReason,LabelSource,IsBlindLabel,Notes
CamB,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: Deep GMRT HI work reports a regular velocity field consistent with rotation, aligned HI/optical axes, and well-behaved kinematics; accept as direct regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: Deep GMRT HI work reports a regular velocity field consistent with rotation, aligned HI/optical axes, and well-behaved kinematics; accept as direct regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://www.sciencedirect.com/science/article/abs/pii/S1384107602002385; source2=https://arxiv.org/abs/astro-ph/0301194
D512-2,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
D564-8,B,0.5,Low,No sufficient source-locked external A/C evidence in imported catalogue layers; keep as ambiguous B pending visual/literature review.,residual-blind external proxy review v0.2,true,no TPG residual fields used; reviewer=codex_catalog_only_review_v01; reviewed_date=2026-05-12
D631-7,B,0.5,Low,"No source-locked direct regular-kinematic, low-asymmetry, disturbed-HI, warp, tidal, or interaction evidence was found in the residual-blind review materials; conservative v0.6 default is B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.6 residual-blind review packet and v0.5 evidence cache: no direct A/C evidence recorded"
DDO064,B,0.5,Low,Karachentsev environment proxy is indirect context only and cannot support an A/C call without direct morphology or kinematic evidence; default to B.,residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
DDO154,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: External HI studies describe an isolated gas-rich dwarf with an unambiguously measured extended HI rotation curve and regular, well-defined velocity field; accept as direct regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: External HI studies describe an isolated gas-rich dwarf with an unambiguously measured extended HI rotation curve and regular, well-defined velocity field; accept as direct regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://www.osti.gov/biblio/7193660; source2=https://www.cambridge.org/core/books/dynamics-of-astrophysical-discs/are-the-smallest-galaxies-optically-invisible/8801BEA180BD885875FC053214252A41
DDO161,B,0.5,Low,"Karachentsev environment proxy is indirect context only, with no direct morphology or kinematic A/C evidence in the residual-blind materials; default to B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices"
DDO168,B,0.5,Low,"v05_batch4_reviewer1_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.42; main_disturber=NGC4736), but environment alone is indirect and does not meet direct A or C evidence rules; default to B. | v05_batch4_reviewer2_codex_source_audit: Karachentsev+2013 provides group-environment/tidal-index context (Thetaj=1.42; main_disturber=NGC4736), but environment alone is indirect and does not meet direct A or C evidence rules; default to B.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=other; source1=VizieR J/AJ/145/101 Karachentsev+2013 Local Volume tidal indices
DDO170,B,0.5,Low,"No source-locked direct regular-kinematic, low-asymmetry, disturbed-HI, warp, tidal, or interaction evidence was found in the residual-blind review materials; conservative v0.6 default is B.",residual-blind external proxy review v0.6 distance-balanced,true,"v0.6 distance-balanced residual-blind source review completed; no TPG residual outputs, prior labels, class medians, or p-values used; reviewer=v06_distance_balanced_reviewer1_codex_source_audit; reviewed_date=2026-05-14; evidence_type=no_data; source1=v0.6 residual-blind review packet and v0.5 evidence cache: no direct A/C evidence recorded"
ESO079-G014,A,1.0,Medium,"v05_blocker_resolution_reviewer1_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves and negligible non-circular motions, with only a small outer HI warp caveat; accept as regular-kinematics A evidence. | v05_blocker_resolution_reviewer2_codex_source_audit: HI modelling reports high-quality smooth/symmetric Halpha+HI rotation curves and negligible non-circular motions, with only a small outer HI warp caveat; accept as regular-kinematics A evidence.",residual-blind external proxy review v0.5,true,v05 accepted reviewer agreement; no TPG residual outputs used; reviewer=v05_reviewer_agreement; reviewed_date=2026-05-14; evidence_type=regular_kinematics; source1=https://academic.oup.com/mnras/article/351/3/903/1052798; source2=https://adsabs.harvard.edu/pdf/2004MNRAS.351..903G
